Day	Date 	  Open   	  High   	  Low   	  Close   
Monday	1-Jan-01	" 1,263.50 "	" 1,276.15 "	" 1,250.65 "	" 1,254.30 "
Tuesday	2-Jan-01	" 1,254.25 "	" 1,279.60 "	" 1,248.55 "	" 1,271.80 "
Wednesday	3-Jan-01	" 1,271.80 "	" 1,293.55 "	" 1,263.95 "	" 1,291.25 "
Thursday	4-Jan-01	" 1,291.30 "	" 1,331.35 "	" 1,291.30 "	" 1,307.65 "
Friday	5-Jan-01	" 1,307.55 "	" 1,330.30 "	" 1,306.25 "	" 1,327.25 "
Monday	8-Jan-01	" 1,327.35 "	" 1,334.20 "	" 1,303.35 "	" 1,309.25 "
Tuesday	9-Jan-01	" 1,309.20 "	" 1,323.40 "	" 1,304.90 "	" 1,311.65 "
Wednesday	10-Jan-01	" 1,311.65 "	" 1,324.35 "	" 1,285.30 "	" 1,287.30 "
Thursday	11-Jan-01	" 1,287.50 "	" 1,296.75 "	" 1,275.95 "	" 1,280.40 "
Friday	12-Jan-01	" 1,280.45 "	" 1,298.85 "	" 1,279.40 "	" 1,286.75 "
Monday	15-Jan-01	" 1,286.85 "	" 1,295.20 "	" 1,277.85 "	" 1,286.75 "
